City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Hamilton,US,2022-10-10 17:07:50,39.1834,-84.5333,70.99,41,0,9.22
250,Saint George,US,2022-10-10 17:07:50,37.1041,-113.5841,74.43,36,0,3.0
251,Srednekolymsk,RU,2022-10-10 17:07:51,67.45,153.6833,16.7,95,63,9.4
252,Veinticinco De Mayo,AR,2022-10-10 17:07:51,-35.4323,-60.1727,73.98,20,0,1.99
253,Kaniama,CD,2022-10-10 17:07:52,-7.5667,24.1833,77.63,40,37,5.7
254,Tasiilaq,GL,2022-10-10 17:07:52,65.6145,-37.6368,33.96,97,100,10.22
255,Atar,MR,2022-10-10 17:07:53,20.5169,-13.0499,100.24,18,76,8.23
256,Prince George,CA,2022-10-10 17:05:08,53.9166,-122.753,60.62,60,75,11.5
257,Lianran,CN,2022-10-10 17:07:54,24.9227,102.485,51.82,95,100,1.68
258,Mar Del Plata,AR,2022-10-10 17:07:55,-38.0023,-57.5575,57.22,71,0,18.99
259,Goroka,PG,2022-10-10 17:07:56,-6.0834,145.3873,61.72,99,100,1.92
260,Tsumeb,NA,2022-10-10 17:07:57,-19.2333,17.7167,86.2,9,2,10.54
261,Aras,ES,2022-10-10 17:07:57,42.5617,-2.356,68.41,56,20,5.75
262,Dunedin,NZ,2022-10-10 17:07:58,-45.8742,170.5036,49.93,79,54,24.99
263,Brae,GB,2022-10-10 17:07:59,60.3964,-1.353,46.89,66,77,33.49
264,Ponerihouen,NC,2022-10-10 17:07:59,-21.0833,165.4,73.06,80,100,11.21
265,Bambous Virieux,MU,2022-10-10 17:08:00,-20.3428,57.7575,72.21,70,22,11.61
266,Amboasary,MG,2022-10-10 17:07:27,-25.0333,46.3833,71.31,85,4,4.16
267,La Orilla,MX,2022-10-10 17:08:00,17.9833,-102.2333,86.76,58,81,1.34
268,Biloela,AU,2022-10-10 17:08:01,-24.4167,150.5,63.9,84,98,12.33
269,Shangrao,CN,2022-10-10 17:08:01,28.4532,117.9686,49.95,59,16,2.82
270,Horsham,GB,2022-10-10 17:08:02,51.064,-0.3272,58.87,60,0,9.22
271,Amuntai,ID,2022-10-10 17:08:03,-2.4177,115.2494,73.89,97,100,2.08
272,Cabo San Lucas,MX,2022-10-10 17:03:11,22.8909,-109.9124,90.61,53,0,4.61
